id,phase,country,location,name,preservation,lat,long,sex,age
1,6,Ireland,Tumbeagh,NA,bog mummy,53.34952,-7.76592,unknown,adult
2,3,Ireland,Cashel,Cashel Man,bog mummy,52.98067,-7.3005994,male,adult
3,4,Ireland,Derrycashel,Derrycashel Man,bog mummy,53.942388,-8.5399975,male,adult
4,5,Ireland,Oldcroghan,Oldcroghan Man,bog mummy (partial),53.331781,-7.3014429,male,adult
5,5,Ireland,Clonycavan,Clonycavan Man,bog mummy,53.52255,-7.0115,male,adult
6,6,Ireland,Meenybraddan,Meenybraddan Woman,bog mummy,54.72986,-8.3221044,female,adult
7,5,Ireland,Gallagh,Gallagh Man,bog mummy,53.436795,-8.4822901,male,adult
8,5,Ireland,Baronstown West,Baronstown West Man,bog mummy (partial),53.211185,-6.8705258,male,adult
9,5,Ireland,Cloonshannagh,Cloonshannagh Woman,bog skeleton,53.758306,-7.9955571,female,adult
10,5,Ireland,Derryvarroge,Derryvarroge Man,bog mummy,53.352899,-6.807162,male,adult
11,5,Ireland,Kinnakinelly ,Kinnakinelly ,bog skeleton,53.649914,-8.8552797,unknown,adult
12,2,Ireland,Stonyisland,Stonyisland Man,bog skeleton,53.086506,-8.2843389,male,adult
13,6,Ireland,Mossy Glen,NA,bog mummy,55.237472,-7.0181941,unknown,unknown
14,6,Ireland,Emlagh,NA,bog mummy,52.175395,-9.9627243,male,child
15,6,Ireland,Ardee,NA,bog mummy,53.858735,-6.540258,female,unknown
16,6,Ireland,Derrindaffderg,NA,bog mummy,53.717088,-9.3641456,unknown,adult
17,6,Ireland,Killerry,NA,bog mummy,54.236488,-8.3535284,male,adult
18,6,Ireland,Gortmahonoge,NA,bog mummy,52.668919,-8.096817,male,adult
19,6,Ireland,Rasharkin,NA,bog mummy,54.95531,-6.4864751,male,adult
20,6,Ireland,Cloonkee,Mr Connel or Connolly,bog mummy,54.131468,-9.2706218,male,adult
21,5,Ireland,Derrydooan Middle,NA,bog mummy,53.656688,-7.5696252,unknown,adult
22,6,Ireland,Cloonbenes,NA,bog mummy,53.30146,-8.51068,unknown,child
23,6,Ireland,Tawnamore,NA,bog mummy,54.17962,-8.93517,male,adult
24,6,Ireland,Carnamoyle,NA,bog mummy,55.096823,-7.330314,female,adult
25,6,Ireland,Leigh,NA,bog mummy,52.65538,-7.65645,male,adult
